pathway	pval	padj	foldEnrichment	overlap	size	overlapGenes
REACTOME_SIGNALING_BY_EGFR	0.323483474560922	1	2.57189772460708	1	49	Ptprk
WP_EXERCISEINDUCED_CIRCADIAN_REGULATION	0.323483474560922	1	2.57189772460708	1	49	Nckap1
JIANG_AGING_HYPOTHALAMUS_UP	0.328863696482692	1	2.52045977011494	1	50	Mt1
REACTOME_ACTIVATION_OF_MATRIX_METALLOPROTEINASES	0.328863696482692	1	2.52045977011494	1	50	Mmp14
WP_MYOMETRIAL_RELAXATION_AND_CONTRACTION_PATHWAYS	0.331452565450738	1	1.69158373833218	2	149	Jun Ramp2
YAUCH_HEDGEHOG_SIGNALING_PARACRINE_DN	0.334050816894784	1	1.47108546893868	3	257	B3galt1 Sbspon Zswim5
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_D7_DN	0.334201374369702	1	2.47103899030877	1	51	Ghr
REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	0.334201374369702	1	2.47103899030877	1	51	Abat
REACTOME_RHOD_GTPASE_CYCLE	0.334201374369702	1	2.47103899030877	1	51	Cpne8
REACTOME_SEMAPHORIN_INTERACTIONS	0.334201374369702	1	2.47103899030877	1	51	Sema7a
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES	0.334349174099507	1	1.68030651340996	2	150	Dnm3 Jun
DARWICHE_SKIN_TUMOR_PROMOTER_UP	0.337242192473999	1	1.66917865570526	2	151	Cxcl16 Ly6e
REACTOME_COLLAGEN_DEGRADATION	0.339496842709039	1	2.42351900972591	1	52	Mmp14
REACTOME_HSP90_CHAPERONE_CYCLE_FOR_STEROID_HORMONE_RECEPTORS_SHR_IN_THE_PRESENCE_OF_LIGAND	0.339496842709039	1	2.42351900972591	1	52	Pgr
REACTOME_ION_HOMEOSTASIS	0.339496842709039	1	2.42351900972591	1	52	Trpc1
REACTOME_REGULATED_NECROSIS	0.339496842709039	1	2.42351900972591	1	52	Tnfsf10
WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS	0.339496842709039	1	2.42351900972591	1	52	Acsl4
WP_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS	0.339496842709039	1	2.42351900972591	1	52	Gpx3
WP_TGFBETA_SIGNALING_PATHWAY	0.339496842709039	1	2.42351900972591	1	52	Jun
BURTON_ADIPOGENESIS_11	0.344750433373175	1	2.37779223595749	1	53	Alcam
HALLMARK_FATTY_ACID_METABOLISM	0.345898466602814	1	1.63666218838633	2	154	Acsl4 Aldh1a1
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES	0.349962475640286	1	2.33375904640272	1	54	Cxcl16
BAKKER_FOXO3_TARGETS_UP	0.355133296214419	1	2.29132706374086	1	55	Dennd5b
MIKKELSEN_IPS_ICP_WITH_H3K27ME3	0.355133296214419	1	2.29132706374086	1	55	Abca4
REACTOME_FORMATION_OF_RNA_POL_II_ELONGATION_COMPLEX	0.355133296214419	1	2.29132706374086	1	55	Mllt3
REACTOME_GAMMA_CARBOXYLATION_HYPUSINYLATION_HYDROXYLATION_AND_ARYLSULFATASE_ACTIVATION	0.355133296214419	1	2.29132706374086	1	55	Pros1
DURCHDEWALD_SKIN_CARCINOGENESIS_DN	0.360036422548981	1	1.40546083835406	3	269	Hpgds Serpinb6a Tmem47
WP_MAPK_SIGNALING_PATHWAY	0.360242539049837	1	1.58519482397166	2	159	Jun Mef2c
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_PROJECTION_NEURONS	0.360263219245494	1	2.2504105090312	1	56	Id2
MODY_HIPPOCAMPUS_POSTNATAL	0.360263219245494	1	2.2504105090312	1	56	Egr1
REACTOME_SIGNALING_BY_PDGF	0.360263219245494	1	2.2504105090312	1	56	Pdgfd
WANG_TUMOR_INVASIVENESS_UP	0.361623924260196	1	1.31616698178326	4	383	Cd63 Mt1 Pros1 S100a6
REACTOME_MUSCLE_CONTRACTION	0.363097875674015	1	1.57528735632184	2	160	Kcnip3 Trpc1
DELASERNA_MYOD_TARGETS_DN	0.365352566349155	1	2.21092962290784	1	57	Thbd
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	0.370401656626474	1	2.17281014665081	1	58	Ramp2
REACTOME_INTERLEUKIN_17_SIGNALING	0.370401656626474	1	2.17281014665081	1	58	Jun
REACTOME_METABOLISM	0.37293284209616	1	1.10728600554198	16	1821	Acsl4 Aldh1a1 Ampd3 Aspa B3galt1 Cd38 Cyp26b1 Gda Gstm1 Gstm2 Gstm7 Hpgds Lpl Nt5c3 Pla2g4a Sult1a1
DAWSON_METHYLATED_IN_LYMPHOMA_TCL1	0.375410806683493	1	2.13598285602961	1	59	Runx1t1
REACTOME_GABA_RECEPTOR_ACTIVATION	0.375410806683493	1	2.13598285602961	1	59	Gabra4
WP_LUNG_FIBROSIS	0.375410806683493	1	2.13598285602961	1	59	Cysltr2
WP_SIDS_SUSCEPTIBILITY_PATHWAYS	0.375410806683493	1	2.13598285602961	1	59	C4b
BREDEMEYER_RAG_SIGNALING_NOT_VIA_ATM_DN	0.380380330650619	1	2.10038314176245	1	60	Sult1a1
MEISSNER_BRAIN_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.380380330650619	1	2.10038314176245	1	60	Sbspon
WP_WNT_SIGNALING	0.380380330650619	1	2.10038314176245	1	60	Jun
REACTOME_REGULATION_OF_INSULIN_SECRETION	0.385310540201871	1	2.06595063124176	1	61	Acsl4
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.385878648171242	1	1.34544115842435	3	281	Cxcl16 Gpr183 Pla2g4a
VANASSE_BCL2_TARGETS_DN	0.390201744573979	1	2.03262884686689	1	62	Cd9
REACTOME_RAB_GERANYLGERANYLATION	0.390201744573979	1	2.03262884686689	1	62	Rab34
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_DN	0.395054250585326	1	2.00036489691662	1	63	Lpl
REACTOME_RAC1_GTPASE_CYCLE	0.39696330096092	1	1.46538358727613	2	172	Arhgap29 Nckap1
HEVNER_INTERMEDIATE_ZONE_AND_UP_POSTMITOTIC_NEURONS	0.39986836265476	1	1.9691091954023	1	64	Mllt3
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	0.402529438634163	1	1.44854009776721	2	174	Cd38 Lpl
MILI_PSEUDOPODIA_HAPTOTAXIS_UP	0.404034692557729	1	1.20021893814997	5	525	Acsl4 Cavin2 Mllt3 Oxr1 Wwtr1
WP_MECHANISMS_ASSOCIATED_WITH_PLURIPOTENCY	0.405106214504523	1	1.30368608799049	3	290	Mef2c Ocln Perp
WP_EGFR1_SIGNALING_PATHWAY	0.405303490638619	1	1.44026272577997	2	175	Jun Plscr1
REACTOME_PROTEIN_PROTEIN_INTERACTIONS_AT_SYNAPSES	0.409382610757361	1	1.90943921978405	1	66	Il1rapl2
DARWICHE_PAPILLOMA_RISK_LOW_UP	0.410833164333275	1	1.42398857068641	2	177	Ly6e Trpc6
BAKKER_FOXO3_TARGETS_DN	0.41358863221894	1	1.41598863489604	2	178	Mab21l2 Tacstd2
MARSON_FOXP3_TARGETS_UP	0.414083343797715	1	1.88094012695145	1	67	S100a6
HEVNER_CORTEX_RADIAL_GLIA_PROGENITORS	0.417205369733712	1	1.21761341551447	4	414	Cldn12 Fhl1 Jam2 Mt1
MADAN_DPPA4_TARGETS	0.418746876947123	1	1.85327924273158	1	68	Abcb1a
REACTOME_HEDGEHOG_ON_STATE	0.418746876947123	1	1.85327924273158	1	68	Evc
LEE_AGING_NEOCORTEX_DN	0.423373502903719	1	1.8264201232717	1	69	Gpx3
LIAN_LIPA_TARGETS_3M	0.423373502903719	1	1.8264201232717	1	69	Sema7a
REACTOME_KERATINIZATION	0.427269347589469	1	1.37730042082784	2	183	Dsg2 Perp
CADWELL_ATG16L1_TARGETS_DN	0.427963512075903	1	1.80032840722496	1	70	Sfrp1
IVANOVA_HEMATOPOIESIS_MATURE_CELL	0.428366194267261	1	1.25604307480811	3	301	Ampd3 Bmpr1a Lamp2
WORSCHECH_TUMOR_REJECTION_UP	0.432517192600141	1	1.77497166909503	1	71	Alcam
REACTOME_OPIOID_SIGNALLING	0.432517192600141	1	1.77497166909503	1	71	Pla2g4a
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS	0.432517192600141	1	1.77497166909503	1	71	Zfp36
DARWICHE_PAPILLOMA_RISK_HIGH_DN	0.435397987686443	1	1.35508589791126	2	186	Mef2c Trpc6
DARWICHE_SQUAMOUS_CELL_CARCINOMA_DN	0.435397987686443	1	1.35508589791126	2	186	Mef2c Trpc6
BURTON_ADIPOGENESIS_2	0.437034830358643	1	1.75031928480204	1	72	Rhoj
MATZUK_SPERMATOCYTE	0.437034830358643	1	1.75031928480204	1	72	Bcl6
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.437034830358643	1	1.75031928480204	1	72	Acsl4
REACTOME_RHOG_GTPASE_CYCLE	0.437034830358643	1	1.75031928480204	1	72	Dsg2
HOLLERN_SQUAMOUS_BREAST_TUMOR	0.440782750558879	1	1.34067009048667	2	188	Rdh10 Serpinb8
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	0.441516708996892	1	1.72634230829791	1	73	Stom
HALLMARK_HEME_METABOLISM	0.443464649334879	1	1.33357659794441	2	189	Btg2 Lamp2
LEE_AGING_CEREBELLUM_DN	0.445963109941049	1	1.70301335818577	1	74	Slc6a15
REACTOME_CYTOCHROME_P450_ARRANGED_BY_SUBSTRATE_TYPE	0.445963109941049	1	1.70301335818577	1	74	Cyp26b1
MIKKELSEN_MEF_LCP_WITH_H3K27ME3	0.450374312415208	1	1.68030651340996	1	75	Kcnip3
REACTOME_SIGNALING_BY_NTRKS	0.450374312415208	1	1.68030651340996	1	75	Ntf3
WP_ESTROGEN_SIGNALING	0.450374312415208	1	1.68030651340996	1	75	Jun
BURTON_ADIPOGENESIS_6	0.451467718272417	1	1.31273946360153	2	192	Cavin2 Lpl
BIOCARTA_MAPK_PATHWAY	0.454750593458531	1	1.65819721718088	1	76	Jun
HALLMARK_KRAS_SIGNALING_DN	0.456767020932952	1	1.29920606706956	2	194	Btg2 Ntf3
LEIN_OLIGODENDROCYTE_MARKERS	0.45909222794225	1	1.63666218838633	1	77	Ndrg1
REACTOME_RNA_POLYMERASE_II_PRE_TRANSCRIPTION_EVENTS	0.45909222794225	1	1.63666218838633	1	77	Mllt3
HALLMARK_XENOBIOTIC_METABOLISM	0.45940569000787	1	1.29254347185382	2	195	Id2 Pros1
MARSON_BOUND_BY_FOXP3_STIMULATED	0.460600944109904	1	1.07507762706325	9	1055	Acsl4 Cytip Dsg2 Gstm7 Mllt3 Nckap1 Plscr2 Ptger4 S100a6
IWANAGA_CARCINOGENESIS_BY_KRAS_PTEN_UP	0.462036969786505	1	1.28594886230354	2	196	Lamp2 Ldhd
MORI_SMALL_PRE_BII_LYMPHOCYTE_DN	0.463399488586525	1	1.61567933981727	1	78	Mef2c
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT	0.463399488586525	1	1.61567933981727	1	78	C4b
HALLMARK_MITOTIC_SPINDLE	0.467277165589974	1	1.27295947985603	2	198	Arhgap29 Myo1e
ZENG_GU_POST_ICB_METAGENE_41	0.467277165589974	1	1.27295947985603	2	198	Acsl4 Oxr1
CHEBOTAEV_GR_TARGETS_UP	0.467672645977186	1	1.59522770260439	1	79	Dnm3
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_16	0.467672645977186	1	1.59522770260439	1	79	Npdc1
REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_BCR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS	0.467672645977186	1	1.59522770260439	1	79	Trpc1
HALLMARK_APICAL_JUNCTION	0.469885986755253	1	1.26656269855022	2	199	Cntn1 Vwf
ZENG_GU_ICB_CONTROL_METAGENE_44_PRECICTIVE_ICB_RESPONSE	0.469885986755253	1	1.26656269855022	2	199	Meis2 Plek
MIKKELSEN_MCV6_ICP_WITH_H3K27ME3	0.471911968582338	1	1.57528735632184	1	80	Slc14a1
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_12	0.471911968582338	1	1.57528735632184	1	80	Tmem176a
ZENG_GU_ICB_CONTROL_METAGENE_42_PRECICTIVE_ICB_RESISTANCE	0.472487228872714	1	1.26022988505747	2	200	Evc Rbpjl
GALINDO_IMMUNE_RESPONSE_TO_ENTEROTOXIN	0.476117722768839	1	1.55583936426848	1	81	Tsc22d1
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION	0.476117722768839	1	1.55583936426848	1	81	Ldhd
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	0.48029017281865	1	1.53686571348472	1	82	Cavin2
ZAMORA_NOS2_TARGETS_DN	0.48029017281865	1	1.53686571348472	1	82	Vwf
REACTOME_MYD88_MAL_TIRAP_CASCADE_INITIATED_ON_PLASMA_MEMBRANE	0.48442958094506	1	1.51834925910539	1	83	Jun
LEE_AGING_CEREBELLUM_UP	0.492610310033939	1	1.48262339418526	1	85	C4b
LEIN_CEREBELLUM_MARKERS	0.492610310033939	1	1.48262339418526	1	85	Dhrs3
REACTOME_FCERI_MEDIATED_MAPK_ACTIVATION	0.49665214522389	1	1.46538358727613	1	86	Jun
REACTOME_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	0.503421267314679	1	1.03067128145964	11	1345	Art4 Asb4 C4b Ly6e Mmrn1 Muc1 Muc13 Pgr Pros1 Rab34 Sbspon
LEIN_MIDBRAIN_MARKERS	0.504640027402146	1	1.43207941483804	1	88	Dnm3
REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	0.508586576634381	1	1.41598863489604	1	89	Dennd5b
BOYLAN_MULTIPLE_MYELOMA_D_UP	0.512501862850125	1	1.40025542784163	1	90	Arhgap29
NEMETH_INFLAMMATORY_RESPONSE_LPS_UP	0.512501862850125	1	1.40025542784163	1	90	Acsl4
REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	0.512501862850125	1	1.40025542784163	1	90	Pgr
LIU_OVARIAN_CANCER_TUMORS_AND_XENOGRAFTS_XDGS_UP	0.516386132282494	1	1.38486800555766	1	91	Sult1a1
VANOEVELEN_MYOGENESIS_SIN3A_TARGETS	0.520418422201707	1	1.1508948721986	2	219	Ndrg1 Vmp1
LEIN_PONS_MARKERS	0.527855273377658	1	1.34067009048667	1	94	Tmem176a
REACTOME_CDC42_GTPASE_CYCLE	0.527855273377658	1	1.34067009048667	1	94	Arhgap29
MEISSNER_NPC_HCP_WITH_H3K4ME2_AND_H3K27ME3	0.531188834869316	1	1.07405956112853	3	352	Ocln Sema7a Sfrp1
MORI_MATURE_B_LYMPHOCYTE_UP	0.53161789966841	1	1.32655777374471	1	95	Mef2c
WP_AMINO_ACID_METABOLISM	0.53161789966841	1	1.32655777374471	1	95	Aldh1a1
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE	0.535350711717038	1	1.31273946360153	1	96	Jun
DURCHDEWALD_SKIN_CARCINOGENESIS_UP	0.539053944410389	1	1.29920606706956	1	97	Mmrn1
WP_WNT_SIGNALING_PATHWAY_AND_PLURIPOTENCY	0.539053944410389	1	1.29920606706956	1	97	Jun
QI_PLASMACYTOMA_DN	0.546372602093751	1	1.27295947985603	1	99	Cytip
WP_IL6_SIGNALING_PATHWAY	0.546372602093751	1	1.27295947985603	1	99	Jun
BRUINS_UVC_RESPONSE_MIDDLE	0.549988487715433	1	1.26022988505747	1	100	Btg2
WP_COMPREHENSIVE_IL17A_SIGNALING	0.549988487715433	1	1.26022988505747	1	100	Mmp14
WP_INTEGRINMEDIATED_CELL_ADHESION	0.549988487715433	1	1.26022988505747	1	100	Itgb3
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_11	0.553575715273501	1	1.24775236144304	1	101	Gstm1
REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT	0.55848164281449	1	1.07253607238934	2	235	Slc14a1 Slc6a15
MIKKELSEN_ES_ICP_WITH_H3K4ME3	0.561490739164854	1	0.996229158148198	6	759	Cd38 Cyyr1 Gstm1 Ldhd Lpar6 Prcp
BURTON_ADIPOGENESIS_3	0.564167699031225	1	1.21175950486295	1	104	Osmr
REACTOME_METABOLISM_OF_WATER_SOLUBLE_VITAMINS_AND_COFACTORS	0.567642535008524	1	1.20021893814997	1	105	Cd38
SANSOM_APC_MYC_TARGETS	0.569930761013695	1	1.05019157088123	2	240	Ndrg1 Oxr1
CADWELL_ATG16L1_TARGETS_UP	0.571089824515398	1	1.18889611797875	1	106	Lpl
RAO_BOUND_BY_SALL4	0.576697225410548	1	1.03722624284566	2	243	Jam2 Lpar6
LE_EGR2_TARGETS_UP	0.577902630896465	1	1.16687952320136	1	108	Id2
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	0.577902630896465	1	1.16687952320136	1	108	Slc6a15
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM5	0.594467575250607	1	1.11524768589157	1	113	Slamf1
REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	0.600911108306121	1	1.09585207396302	1	115	Ntf3
REACTOME_RAB_REGULATION_OF_TRAFFICKING	0.600911108306121	1	1.09585207396302	1	115	Dennd5b
REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS	0.607252838709623	1	1.07711955987818	1	117	Pla2g4a
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_LARGE_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	0.611104029511668	1	0.954719609892024	3	396	Clu Dsg2 Gadd45g
REACTOME_METABOLISM_OF_CARBOHYDRATES_AND_CARBOHYDRATE_DERIVATIVES	0.617748547850471	1	0.962007545845398	2	262	Aldh1a1 B3galt1
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	0.619637263578479	1	1.04151230170039	1	121	C4b
REACTOME_SIGNALING_BY_HEDGEHOG	0.631633346421249	1	1.00818390804598	1	125	Evc
MIKKELSEN_IPS_ICP_WITH_H3K4ME3_AND_H327ME3	0.634573116073256	1	1.00018244845831	1	126	Rhoj
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	0.634573116073256	1	1.00018244845831	1	126	Ehd3
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.637489558500705	1	0.992306996108245	1	127	Mmp14
STEARMAN_LUNG_CANCER_EARLY_VS_LATE_UP	0.640382857744817	1	0.984554597701149	1	128	Kdr
AFFAR_YY1_TARGETS_DN	0.642072796482763	1	0.919875828509103	2	274	Il1rapl2 Plscr2
REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT	0.643253196403184	1	0.97692239151742	1	129	Pla2g4a
REACTOME_SIGNALING_BY_INTERLEUKINS	0.64600699828688	1	0.913210061635849	2	276	Jun Osmr
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	0.654508547232178	1	0.947541266960505	1	133	Mef2c
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION	0.65726677218201	1	0.940470063475725	1	134	Dnm3
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS	0.660003102439895	1	0.93350361856109	1	135	Nckap1
BROWN_MYELOID_CELL_DEVELOPMENT_DN	0.662717710808428	1	0.926639621365788	1	136	Nt5c3
GRAESSMANN_APOPTOSIS_BY_DOXORUBICIN_DN	0.664043429377436	1	0.919875828509103	13	1781	Acsl4 Bmpr1a Cntn1 Dsg2 Ghr Mllt3 Myo1e Ndn Osmr Plscr1 Prnp Ptprk Tmem176a
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	0.665410768734242	1	0.919875828509103	1	137	Rhoj
LI_INDUCED_T_TO_NATURAL_KILLER_DN	0.668082446318577	1	0.913210061635849	1	138	Art4
REACTOME_DEATH_RECEPTOR_SIGNALING	0.668082446318577	1	0.913210061635849	1	138	Tnfsf10
REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	0.668900472484426	1	0.875159642401022	2	288	Itgb3 Vwf
HOLLERN_EMT_BREAST_TUMOR_UP	0.673362334203727	1	0.900164203612479	1	140	Sema7a
REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS	0.673362334203727	1	0.900164203612479	1	140	Dnm3
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.681125989800003	1	0.88127963990033	1	143	Ndrg1
REACTOME_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	0.68619955063199	1	0.869124058660325	1	145	Gpx3
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	0.688706151108969	1	0.863171154148953	1	146	Trpc1
HALLMARK_DNA_REPAIR	0.693659784471873	1	0.851506679092886	1	148	Nt5c3
PANGAS_TUMOR_SUPPRESSION_BY_SMAD1_AND_SMAD5_DN	0.693659784471873	1	0.851506679092886	1	148	Tox
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_8D	0.696016376610602	1	0.866137378046372	6	873	Arhgap29 Aspa Bcl6 Lpl Prnp Stom
WP_REGULATION_OF_ACTIN_CYTOSKELETON	0.698535036294305	1	0.840153256704981	1	150	Nckap1
IVANOVA_HEMATOPOIESIS_EARLY_PROGENITOR	0.700366395014452	1	0.83458932785263	3	453	Lpar6 Prtn3 Tox
HOFFMANN_LARGE_TO_SMALL_PRE_BII_LYMPHOCYTE_UP	0.700943655253107	1	0.83458932785263	1	151	Mmp14
REACTOME_CELLULAR_SENESCENCE	0.700943655253107	1	0.83458932785263	1	151	Jun
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_36HR	0.705703640933865	1	0.823679663436256	1	153	Lpl
BYSTRYKH_HEMATOPOIESIS_STEM_CELL_AND_BRAIN_QTL_TRANS	0.717276604179995	1	0.797613851302197	1	158	Cavin2
BRUINS_UVC_RESPONSE_EARLY_LATE	0.717687164079904	1	0.797613851302197	2	316	Gpx3 Ntf3
REACTOME_CYTOKINE_SIGNALING_IN_IMMUNE_SYSTEM	0.718409692319709	1	0.811306792955454	3	466	Ghr Jun Osmr
REACTOME_ESR_MEDIATED_SIGNALING	0.719536313452971	1	0.792597411985831	1	159	Pgr
REACTOME_FC_EPSILON_RECEPTOR_FCERI_SIGNALING	0.726208259189261	1	0.777919682134242	1	162	Jun
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	0.728396983020055	1	0.773147168746915	1	163	Npdc1
REACTOME_SUMOYLATION	0.73272237668583	1	0.763775687913619	1	165	Pgr
REACTOME_METABOLISM_OF_PROTEINS	0.750004523566398	1	0.858272339426201	12	1762	Art4 Asb4 C4b Ldhd Ly6e Mmrn1 Muc1 Muc13 Pgr Pros1 Rab34 Sbspon
GAUSSMANN_MLL_AF4_FUSION_TARGETS_C_UP	0.753343250585843	1	0.720131362889984	1	175	B3galt1
WP_CHEMOKINE_SIGNALING_PATHWAY	0.753343250585843	1	0.720131362889984	1	175	Cxcl16
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	0.759215245150014	1	0.707994317448018	1	178	S100a6
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	0.77054548729236	1	0.684907546226887	1	184	Ramp2
WP_GPCRS_ODORANT	0.77054548729236	1	0.684907546226887	1	184	Gpr183
REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	0.775359093069103	1	0.776960471675383	5	811	Btg2 Pgr Rorb Rorc Wwtr1
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC	0.77601020247058	1	0.673919724629664	1	187	Pla2g4a
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.784831973387934	1	0.656369731800766	1	192	Cxcl16
REACTOME_PHOSPHOLIPID_METABOLISM	0.784831973387934	1	0.656369731800766	1	192	Pla2g4a
HALLMARK_G2M_CHECKPOINT	0.789958310985217	1	0.646271735926908	1	195	Meis2
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_DN	0.792025677221112	1	0.717398416541255	3	527	Alcam Dennd5b S100a6
HALLMARK_GLYCOLYSIS	0.798233736462627	1	0.630114942528736	1	200	Vldlr
ZENG_GU_ICB_CONTROL_METAGENE_21_PRECICTIVE_ICB_RESISTANCE	0.798233736462627	1	0.630114942528736	1	200	Zfp334
MIKKELSEN_MEF_ICP_WITH_H3K27ME3	0.813824492006913	1	0.600109469074986	1	210	Nrg4
REACTOME_NEDDYLATION	0.815316090606729	1	0.59726534836847	1	211	Asb4
SANSOM_APC_TARGETS	0.816795806968769	1	0.594448058989373	1	212	Tc2n
WP_GPCRS_CLASS_A_RHODOPSINLIKE	0.833659115310367	1	0.5626026272578	1	224	Ptger4
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	0.842773642273703	1	0.545554062795442	1	231	Aspa
REACTOME_GENE_EXPRESSION_TRANSCRIPTION	0.849316330002876	1	0.71536228101654	6	1057	Btg2 Mllt3 Pgr Rorb Rorc Wwtr1
REACTOME_ADAPTIVE_IMMUNE_SYSTEM	0.850845144167653	1	0.67122763518374	4	751	Asb4 Dnm3 Npdc1 Trpc1
REACTOME_INTRACELLULAR_SIGNALING_BY_SECOND_MESSENGERS	0.852583615576863	1	0.52729283893618	1	239	Ntf3
MIKKELSEN_MEF_HCP_WITH_H3_UNMETHYLATED	0.858403263452723	1	0.516487657810439	1	244	Il1rapl2
REACTOME_RHO_GTPASE_EFFECTORS	0.859539485190374	1	0.514379544921417	1	245	Nckap1
GRAESSMANN_RESPONSE_TO_MC_AND_DOXORUBICIN_DN	0.867984952260901	1	0.649603033534779	4	776	Dsg2 Mt1 Osmr Plscr1
REACTOME_METABOLISM_OF_LIPIDS	0.873804612812811	1	0.608806707757232	3	621	Acsl4 Hpgds Pla2g4a
REACTOME_VESICLE_MEDIATED_TRANSPORT	0.894957615148671	1	0.578087103237372	3	654	Dennd5b Dnm3 Pla2g4a
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	0.895773617741403	1	0.446890030162224	1	282	Asb4
REACTOME_TRANSCRIPTIONAL_REGULATION_BY_TP53	0.90615784902367	1	0.427196571205922	1	295	Btg2
LEE_BMP2_TARGETS_DN	0.931296545281069	1	0.558241366581383	4	903	Amotl2 Cd38 Mllt3 Nt5c3
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION	0.935822910396626	1	0.368488270484641	1	342	Asb4
LAZARO_GENETIC_MOUSE_MODEL_HIGH_GRADE_SMALL_CELL_NEUROENDOCRINE_LUNG_CARCINOMA_UP	0.971128303326289	1	0.37618802539029	2	670	Abat Tox
REACTOME_METABOLISM_OF_RNA	0.991335559643049	1	0.214324810383924	1	588	Zfp36
HOUNKPE_HOUSEKEEPING_GENES	0.99897322108037	1	0.223247100984494	2	1129	Dhx40 Lamp2
HALLMARK_ALLOGRAFT_REJECTION	1	1	0	0	190	
HALLMARK_APICAL_SURFACE	1	1	0	0	44	
HALLMARK_E2F_TARGETS	1	1	0	0	199	
HALLMARK_MYC_TARGETS_V1	1	1	0	0	192	
HALLMARK_MYC_TARGETS_V2	1	1	0	0	58	
HALLMARK_NOTCH_SIGNALING	1	1	0	0	32	
